itemKey,locationKey
LUGGAGE,KIDNEY-CLOTHES
LUGGAGE,WOMEN-IN-CRISIS
MEDICATIONS,HAZARDOUSWASTE
MEDICATIONS,OMRP
METAL,CITY-LANDFILL
METAL,SCRAPPIES
METAL,TRIPLE-M
NEEDLES,HAZARDOUSWASTE
NEEDLES,OSCP
PAINT-NEW,HABITAT
PAINT-NEW,HAZARDOUSWASTE
PAPER,CITY-GREYBOX
PAPER,CITY-LANDFILL
PAPER-CARDBOARD,CITY-GREYBOX
PAPER-CARDBOARD,CITY-LANDFILL
PAPER-MAGAZINES,CITY-GREYBOX
PAPER-MAGAZINES,CITY-LANDFILL
PAPER-MAGAZINES,VALUE-VILLAGE
PETSUPPLIES,HUMANESOCIETY
PILLOWS,KIDNEY-CLOTHES
PILLOWS,ST-VINCENT-PLACE
PILLOWS,WOMEN-IN-CRISIS
PIPES-METAL,SCRAPPIES
PROPANE-CYLINDERS,CITY-LANDFILL
PROPANE-CYLINDERS,HAZARDOUSWASTE
PURSES,KIDNEY-CLOTHES
PURSES,ST-VINCENT-PLACE
PURSES,WOMEN-IN-CRISIS
PURSES,VALUE-VILLAGE
SHOES-GENTLYUSED,KIDNEY-CLOTHES
SHOES-GENTLYUSED,WOMEN-IN-CRISIS
SHOES-GENTLYUSED,ONCE-UPON-A-CHILD
SHOES-GENTLYUSED,VALUE-VILLAGE
SPORTS-HOCKEY,HOCKEY-EXCHANGE
STYROFOAM,HAZARDOUSWASTE
STYROFOAM-MEATTRAYS,HAZARDOUSWASTE
TIN-FOIL,CITY-BLUEBOX
TIN-FOIL,SCRAPPIES
TIN-FOIL,CITY-LANDFILL
TIRES-CAR,CITY-LANDFILL
TIRES-CAR,RETHINK-TIRES
TOWELS,HUMANESOCIETY
TOWELS,VALUE-VILLAGE
WRITING-INSTRUMENTS,STAPLES
YARDWASTE,LEMIEUX
YARDWASTE,CITY-YARDWASTE
